Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"CP","Consumer Price Indices","5000","World","7001","January","23013","Consumer Prices, Food Indices (2000 = 100)","2000","99.50","","Official data"
"CP","Consumer Price Indices","5000","World","7001","January","23013","Consumer Prices, Food Indices (2000 = 100)","2001","101.50","","Official data"
"CP","Consumer Price Indices","5000","World","7001","January","23013","Consumer Prices, Food Indices (2000 = 100)","2002","106.50","","Official data"
"CP","Consumer Price Indices","5000","World","7001","January","23013","Consumer Prices, Food Indices (2000 = 100)","2003","112.50","","Official data"
"CP","Consumer Price Indices","5000","World","7001","January","23013","Consumer Prices, Food Indices (2000 = 100)","2004","119.20","","Official data"
"CP","Consumer Price Indices","5000","World","7001","January","23013","Consumer Prices, Food Indices (2000 = 100)","2005","125.00","","Official data"
"CP","Consumer Price Indices","5000","World","7001","January","23013","Consumer Prices, Food Indices (2000 = 100)","2006","132.20","","Official data"
"CP","Consumer Price Indices","5000","World","7001","January","23013","Consumer Prices, Food Indices (2000 = 100)","2007","139.70","","Official data"
"CP","Consumer Price Indices","5000","World","7001","January","23013","Consumer Prices, Food Indices (2000 = 100)","2008","155.50","","Official data"
"CP","Consumer Price Indices","5000","World","7001","January","23013","Consumer Prices, Food Indices (2000 = 100)","2009","172.00","","Official data"
"CP","Consumer Price Indices","5000","World","7001","January","23013","Consumer Prices, Food Indices (2000 = 100)","2010","184.20","","Official data"
"CP","Consumer Price Indices","5000","World","7001","January","23013","Consumer Prices, Food Indices (2000 = 100)","2011","199.90","","Official data"
"CP","Consumer Price Indices","5000","World","7001","January","23013","Consumer Prices, Food Indices (2000 = 100)","2012","213.20","","Official data"
"CP","Consumer Price Indices","5000","World","7001","January","23013","Consumer Prices, Food Indices (2000 = 100)","2013","227.20","","Official data"
"CP","Consumer Price Indices","5000","World","7001","January","23013","Consumer Prices, Food Indices (2000 = 100)","2014","240.70","","Official data"
"CP","Consumer Price Indices","5000","World","7002","February","23013","Consumer Prices, Food Indices (2000 = 100)","2000","100.50","","Official data"
"CP","Consumer Price Indices","5000","World","7002","February","23013","Consumer Prices, Food Indices (2000 = 100)","2001","101.90","","Official data"
"CP","Consumer Price Indices","5000","World","7002","February","23013","Consumer Prices, Food Indices (2000 = 100)","2002","107.50","","Official data"
"CP","Consumer Price Indices","5000","World","7002","February","23013","Consumer Prices, Food Indices (2000 = 100)","2003","113.70","","Official data"
"CP","Consumer Price Indices","5000","World","7002","February","23013","Consumer Prices, Food Indices (2000 = 100)","2004","119.50","","Official data"
"CP","Consumer Price Indices","5000","World","7002","February","23013","Consumer Prices, Food Indices (2000 = 100)","2005","126.80","","Official data"
"CP","Consumer Price Indices","5000","World","7002","February","23013","Consumer Prices, Food Indices (2000 = 100)","2006","133.00","","Official data"
"CP","Consumer Price Indices","5000","World","7002","February","23013","Consumer Prices, Food Indices (2000 = 100)","2007","141.20","","Official data"
"CP","Consumer Price Indices","5000","World","7002","February","23013","Consumer Prices, Food Indices (2000 = 100)","2008","159.40","","Official data"
"CP","Consumer Price Indices","5000","World","7002","February","23013","Consumer Prices, Food Indices (2000 = 100)","2009","172.60","","Official data"
"CP","Consumer Price Indices","5000","World","7002","February","23013","Consumer Prices, Food Indices (2000 = 100)","2010","185.90","","Official data"
"CP","Consumer Price Indices","5000","World","7002","February","23013","Consumer Prices, Food Indices (2000 = 100)","2011","201.60","","Official data"
"CP","Consumer Price Indices","5000","World","7002","February","23013","Consumer Prices, Food Indices (2000 = 100)","2012","213.70","","Official data"
"CP","Consumer Price Indices","5000","World","7002","February","23013","Consumer Prices, Food Indices (2000 = 100)","2013","229.70","","Official data"
"CP","Consumer Price Indices","5000","World","7002","February","23013","Consumer Prices, Food Indices (2000 = 100)","2014","241.80","","Official data"
"CP","Consumer Price Indices","5000","World","7003","March","23013","Consumer Prices, Food Indices (2000 = 100)","2000","99.90","","Official data"
"CP","Consumer Price Indices","5000","World","7003","March","23013","Consumer Prices, Food Indices (2000 = 100)","2001","102.30","","Official data"
"CP","Consumer Price Indices","5000","World","7003","March","23013","Consumer Prices, Food Indices (2000 = 100)","2002","107.20","","Official data"
"CP","Consumer Price Indices","5000","World","7003","March","23013","Consumer Prices, Food Indices (2000 = 100)","2003","113.90","","Official data"
"CP","Consumer Price Indices","5000","World","7003","March","23013","Consumer Prices, Food Indices (2000 = 100)","2004","120.00","","Official data"
"CP","Consumer Price Indices","5000","World","7003","March","23013","Consumer Prices, Food Indices (2000 = 100)","2005","126.90","","Official data"
"CP","Consumer Price Indices","5000","World","7003","March","23013","Consumer Prices, Food Indices (2000 = 100)","2006","132.90","","Official data"
"CP","Consumer Price Indices","5000","World","7003","March","23013","Consumer Prices, Food Indices (2000 = 100)","2007","141.60","","Official data"
"CP","Consumer Price Indices","5000","World","7003","March","23013","Consumer Prices, Food Indices (2000 = 100)","2008","161.00","","Official data"
"CP","Consumer Price Indices","5000","World","7003","March","23013","Consumer Prices, Food Indices (2000 = 100)","2009","173.00","","Official data"
"CP","Consumer Price Indices","5000","World","7003","March","23013","Consumer Prices, Food Indices (2000 = 100)","2010","185.60","","Official data"
"CP","Consumer Price Indices","5000","World","7003","March","23013","Consumer Prices, Food Indices (2000 = 100)","2011","201.90","","Official data"
"CP","Consumer Price Indices","5000","World","7003","March","23013","Consumer Prices, Food Indices (2000 = 100)","2012","214.90","","Official data"
"CP","Consumer Price Indices","5000","World","7003","March","23013","Consumer Prices, Food Indices (2000 = 100)","2013","229.20","","Official data"
"CP","Consumer Price Indices","5000","World","7003","March","23013","Consumer Prices, Food Indices (2000 = 100)","2014","242.30","","Official data"
"CP","Consumer Price Indices","5000","World","7004","April","23013","Consumer Prices, Food Indices (2000 = 100)","2000","99.70","","Official data"
